Stock Number,Name,Brand,Collection,Department,Item Type,Styles,Gender,Materials,Description,Image 1,Details,Availability,Price Notes,Price,Width,Fit,Settings,Total Carat Weight,xItem Sub Type
"ER7838WD","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","30RD DI D=.25","https://bassalijewelry.com/images/items/ER7838WD.jpg","","1","","1050","","","","","Mounting"
"ER7839WD","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","36RD=.30","https://bassalijewelry.com/images/items/ER7839WD.jpg","","1","","1050","","","","","Mounting"
"ER11848WD","","Bassali Jewelry","","Fashion","Earring","","M","18K White Gold","20RD=.42 18K","https://bassalijewelry.com/images/items/ER11848WD.jpg","","1","","2100","","","","","Studs"
"ER11881D","","Bassali Jewelry","","Fashion","Earring","","M","14K Yellow Gold","64RD=.16 14KY","https://bassalijewelry.com/images/items/ER11881D.jpg","","2","","870","","","","","Studs"
"ER11881KD","","Bassali Jewelry","","Fashion","Earring","","M","14K Rose Gold","64RD=.16 14KR","https://bassalijewelry.com/images/items/ER11881KD.jpg","","2","","870","","","","","Studs"
"ER11881WD","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","64RD=.16 14KW","https://bassalijewelry.com/images/items/ER11881WD.jpg","","1","","870","","","","","Studs"
"ER11906D","","Bassali Jewelry","","Fashion","Earring","","M","14K Yellow Gold","2RD=.05 14KY","https://bassalijewelry.com/images/items/ER11906D.jpg","","2","","600","","","","","Hoops"
"ER11906KD","","Bassali Jewelry","","Fashion","Earring","","M","14K Rose Gold","2RD=.05 14KR","https://bassalijewelry.com/images/items/ER11906KD.jpg","","1","","600","","","","","Hoops"
"ER11923KDMP","","Bassali Jewelry","","Fashion","Earring","","M","14K Rose Gold","32RD=.09 2MP=.12 14K","https://bassalijewelry.com/images/items/ER11923KDMP.jpg","","1","","660","","","","","Studs"
"ER11923KDTU","","Bassali Jewelry","","Fashion","Earring","","M","14K Rose Gold","32RD=.09 2TURQ=.12 14K","https://bassalijewelry.com/images/items/ER11923KDTU.jpg","","1","","660","","","","","Studs"
"ER11923WDBA","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","32RD=.09 2BLAGT=.12 14K","https://bassalijewelry.com/images/items/ER11923WDBA.jpg","","1","","660","","","","","Studs"
"ER11923WDLP","","Bassali Jewelry","","Fashion","Earring","","M","14K White Gold","32RD=.09 2LP=.12 14KW","https://bassalijewelry.com/images/items/ER11923WDLP.jpg","","1","","660","","","","","Studs"
"RG2891DR","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","4RD DI 4MQ RUBY  D=.10 R=.50","https://bassalijewelry.com/images/items/RG2891DR.jpg","","7","","420","","","","","Cluster"
"RG2891DS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","4RD DI 4MQ SAPH  D=.10 S=.50","https://bassalijewelry.com/images/items/RG2891DR.jpg","","3","","360","","","","","Cluster"
"RG2971DE","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","12RD DI 1OV EMER D=.10 E=.60","https://bassalijewelry.com/images/items/RG2971DE.jpg","","1","","660","","","","","Centerstone"
"RG2993DR","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","4RD DI 4MQ RUBY  D=.07 R=.80","https://bassalijewelry.com/images/items/RG2993DR.jpg","","8","","480","","","","","Cluster"
"RG2993DS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","4RD DI 4MQ SAPH  D=.07 S=.80","https://bassalijewelry.com/images/items/RG2993DS.jpg","","6","","420","","","","","Cluster"
"RG3277WB","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","1OV BTOP BT=4.50","https://bassalijewelry.com/images/items/RG3277WB.jpg","","1","","600","","","","","Centerstone"
"RG3348WD","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K White Gold","23RD DI D=.50","https://bassalijewelry.com/images/items/RG3348WD.jpg","","1","","2550","","","","","Band"
"RG3352/D","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","9RD DI D=.25 CT.","https://bassalijewelry.com/images/items/RG3352D.jpg","","1","","1050","","","","","Fashion"
"RG3389WDE","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","4RD DI 1OV EMER  D=.24 E=1.00","https://bassalijewelry.com/images/items/RG3389WE.jpg","","1","","960","","","","","Centerstone"
"RG3393DS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","2SQ DI 1OV SAPH  D=.10 S=1.00","https://bassalijewelry.com/images/items/RG3393DS.jpg","","1","","840","","","","","Centerstone"
"RG3393DT","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","2SQ DI 1OV TANZ  D=.10 TZ=1.00","https://bassalijewelry.com/images/items/RG3393DT.jpg","","2","","1200","","","","","Centerstone"
"RG3410DS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","2RD DI 1OV SAPH  D=.10 S=.50","https://bassalijewelry.com/images/items/RG3410DS.jpg","","1","","540","","","","","Centerstone"
"RG3428/P","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","1TR PSAP PS=.80","https://bassalijewelry.com/images/items/RG3428P.jpg","","1","","840","","","","","Centerstone"
"RG3454DS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","2RD DI 1OV SAPH  D=.40 S=1.40","https://bassalijewelry.com/images/items/RG3454DS.jpg","","1","","1200","","","","","Centerstone"
"RG3454DT","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","2RD DI 1OV TANZ  D=.40 TZ=1.35","https://bassalijewelry.com/images/items/RG3454DT.jpg","","1","","1200","","","","","Centerstone"
"RG3537DE","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","2RD=.08 1OV/EMER E=.80","https://bassalijewelry.com/images/items/RG3537DE.jpg","","1","","1200","","","","","Centerstone"
"RG3537XDGS","","Bassali Jewelry","","Fashion","Ring","","M","14K Two-tone","2RD DI 1OV GOSA  D=.08 GOS=1.1","https://bassalijewelry.com/images/items/RG3537XDGS.jpg","","1","","900","","","","","Centerstone"
"RG3604XDLQ","","Bassali Jewelry","","Fashion","Ring","","M","14K Two-tone","7RD=.10 1TR/LQTZ LQ=.55","https://bassalijewelry.com/images/items/RG3604XDLQ.jpg","","1","","780","","","","","Centerstone"
"RG3606DT","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Yellow Gold","16RD DI 3SQ TANZ D=.32 TZ=.45","https://bassalijewelry.com/images/items/RG3606DT.jpg","","1","","900","","","","","Band"
"RG3825DT","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","4RD DI 1TR TANZ  D=.12 TZ=.70","https://bassalijewelry.com/images/items/RG3825DT.jpg","","1","","1200","","","","","Centerstone"
"RG3939WDS","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","14RD DI 1OV SAPH D=.25 S=1.20","https://bassalijewelry.com/images/items/RG3939WDS.jpg","","1","","1050","","","","","Centerstone"
"RG4054D","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Yellow Gold","14RD=.28 14K","https://bassalijewelry.com/images/items/RG4054D.jpg","","1","","900","","","","","Band"
"RG4058DD","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","6RD DI 1PS PERD  D=.15 PD=.60","https://bassalijewelry.com/images/items/RG4058DD.jpg","","1","","420","","","","","Centerstone"
"RG4058DS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","6RD DI 1PS SAPH  D=.15 S=.90","https://bassalijewelry.com/images/items/RG4058DS.jpg","","1","","600","","","","","Centerstone"
"RG4058DT","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","6RD DI 1PS TANZ  D=.15 TZ=.70","https://bassalijewelry.com/images/items/RG4058DT.jpg","","1","","840","","","","","Centerstone"
"RG4058WDS","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","6RD DI 1PS SAPH  D=.15 S=.90","https://bassalijewelry.com/images/items/RG4058WDS.jpg","","2","","600","","","","","Centerstone"
"RG4256WDD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","4PC DI 1EC PERD  D=.40 PD=2.50","https://bassalijewelry.com/images/items/RG4256WDD.jpg","","1","","3300","","","","","Centerstone"
"RG4257WDT1","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","6PC DI 1EC TANZ  D=.30 TZ=7.10","https://bassalijewelry.com/images/items/RG4257WT.jpg","","1","","8550","","","","","Centerstone"
"RG4400WDD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","30RD DI 1EC PERD D=.40 PD=2.20","https://bassalijewelry.com/images/items/RG4400WDD.jpg","","1","","2100","","","","","Centerstone"
"RG4761DR","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Yellow Gold","3RD DI 4RD RUBY  D=.20 R=.50","https://bassalijewelry.com/images/items/RG4761DR.jpg","","1","","660","","","","","Band"
"RG5058DS","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Yellow Gold","3RD DI 4RD SAPH  D=.35 S=.70","https://bassalijewelry.com/images/items/RG5058DS.jpg","","1","","810","","","","","Band"
"RG5070WD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","48RD DI D=.50","https://bassalijewelry.com/images/items/RG5070WD.jpg","","1","","1500","","","","","Fashion"
"RG5091WDA","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","131RD=1.30 1CC/AMET A=4.50","https://bassalijewelry.com/images/items/RG5091WDA.jpg","","1","","2400","","","","","Centerstone"
"RG5095WDG","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","14RD DI 1OV GARN D=.20 G=5.10","https://bassalijewelry.com/images/items/RG5095WDG.jpg","","1","","1800","","","","","Centerstone"
"RG5095WDP","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","14RD DI 1OV PTOP D=.20 PT=5.10","https://bassalijewelry.com/images/items/RG5095WDP.jpg","","1","","1200","","","","","Centerstone"
"RG5123WD","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K White Gold","3PC16RD DI D=.85 D=.45","https://bassalijewelry.com/images/items/RG5123WD.jpg","","2","","2550","","","","","Band"
"RG5140WDP","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","32RD DI 1OV PTOP D=1.00 PT=7.0","https://bassalijewelry.com/images/items/RG5140WDP.jpg","","1","","2250","","","","","Centerstone"
"RG5155WDD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","4RD DI 1SQ PERD  D=.10 PD=2.70","https://bassalijewelry.com/images/items/RG5155WDD.jpg","","1","","750","","","","","Centerstone"
"RG5156WDQ","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","4RD=.16 1OV/AQUA AQ=3.20","https://bassalijewelry.com/images/items/RG5156WDQ.jpg","","1","","1200","","","","","Centerstone"
"RG5157WDQ","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","2RD DI 1CC AQUA  D=.05 AQ=1.50","https://bassalijewelry.com/images/items/RG5157WDQ.jpg","","1","","600","","","","","Centerstone"
"RG5157WDSQ","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","2RD=.05 1CC/SQTZ SQ=1.50","https://bassalijewelry.com/images/items/RG5157WDSQ.jpg","","1","","600","","","","","Centerstone"
"RG5200WDD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","88RD DI 1OV PERD D=1.10 PD=3.5","https://bassalijewelry.com/images/items/RG5200WDD.jpg","","1","","3300","","","","","Centerstone"
"RG5201WDB","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","24RD DI 1CC BTOP D=.30 BT=8.00","https://bassalijewelry.com/images/items/RG5201WDB.jpg","","1","","2400","","","","","Centerstone"
"RG5212WDC","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","36RD=.40 1CC/CITR C=5.50","https://bassalijewelry.com/images/items/RG5212WDC.jpg","","1","","2100","","","","","Centerstone"
"RG5240WDR","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","33RD=.17 1RD/RUBY R=.30","https://bassalijewelry.com/images/items/RG5240WDR.jpg","","2","","1050","","","","","Centerstone"
"RG5512WDD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","44RD DI 1CC PERD D=.50 PD=3.20","https://bassalijewelry.com/images/items/RG5512WDD.jpg","","2","","2250","","","","","Centerstone"
"RG5515WDP","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","40RD DI 1CC PTOP D=.40 P=3.40","https://bassalijewelry.com/images/items/RG5515WDP.jpg","","1","","1200","","","","","Centerstone"
"RG5517WDY","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","60RD DI 1OV YSAP D=.60 YS=1.50","https://bassalijewelry.com/images/items/RG5517WDY.jpg","","1","","1650","","","","","Centerstone"
"RG5523WDP","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","24RD DI 1OV PTOP D=.30 PT=5.60","https://bassalijewelry.com/images/items/RG5523WDP.jpg","","1","","1380","","","","","Centerstone"
"RG5562WDA","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","63RD DI 1OV AMET D=.60 A=2.90","https://bassalijewelry.com/images/items/RG5562WDA.jpg","","1","","2100","","","","","Centerstone"
"RG5564DP","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","10RD DI 1OV PTOP D=.20 P=4.90","https://bassalijewelry.com/images/items/RG5564DP (2).jpg","","1","","1200","","","","","Centerstone"
"RG5564WDC","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","10RD DI 1OV CITR D=.20 C=4.40","https://bassalijewelry.com/images/items/RG5564WDC.jpg","","1","","1200","","","","","Centerstone"
"RG5565WDD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","40RD DI 1OV PERD D=.40 PD=5.80","https://bassalijewelry.com/images/items/RG5565WDD.jpg","","1","","2400","","","","","Centerstone"
"RG5566DB","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","8RD DI 1OV BTOP  D=.15 B=7.20","https://bassalijewelry.com/images/items/RG5566DB.jpg","","1","","1500","","","","","Centerstone"
"RG5567DP","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","14RD DI 1OV PTOP D=.55 PT=4.00","https://bassalijewelry.com/images/items/RG5567DP.jpg","","1","","1650","","","","","Centerstone"
"RG5567WDB","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","14RD DI 1OV BTOP D=.55 BT=4.00","https://bassalijewelry.com/images/items/RG5567WDB.jpg","","1","","1800","","","","","Centerstone"
"RG5575WDD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","10RD=.20 1RD/PERD PD=1.50","https://bassalijewelry.com/images/items/RG5575WDD.jpg","","1","","840","","","","","Centerstone"
"RG5610WDB","","Bassali Jewelry","","Fashion","Ring","","M","18K White Gold","39RD DI 1PS BTOP D=.40 B=9.18","https://bassalijewelry.com/images/items/RG5610WDB.jpg","","1","","3600","","","","","Centerstone"
"RG5642KDRA","","Bassali Jewelry","","Fashion","Ring","","M","14K Rose Gold","59RD=.30 1CC/RAME RA=1.67","https://bassalijewelry.com/images/items/RG5642KDRA.jpg","","1","","2580","","","","","Centerstone"
"RG5673WDB","","Bassali Jewelry","","Fashion","Ring","","M","18K White Gold","32RD=.21 1CC/BTOP B=5.51","https://bassalijewelry.com/images/items/RG5673WDB.jpg","","1","","1200","","","","","Centerstone"
"RG5673WDSQ","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","32RD=.21 1CC/SQTZ SQ=3.66 14K","https://bassalijewelry.com/images/items/RG5673WL.jpg","","1","","1500","","","","","Centerstone"
"RG5674WDB","","Bassali Jewelry","","Fashion","Ring","","M","18K White Gold","26RD DI 1RD BTOP D=.16 B=3.43","https://bassalijewelry.com/images/items/RG5674WDB.jpg","","1","","750","","","","","Centerstone"
"RG5694WDD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","20RD DI 1CC PERD D=.50 PD=1.80","https://bassalijewelry.com/images/items/RG5694WDD.jpg","","1","","1500","","","","","Centerstone"
"RG5697WDB","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","48RD DI 1OV BTOP D=.55 B=10.20","https://bassalijewelry.com/images/items/RG5697WDB.jpg","","1","","1800","","","","","Centerstone"
"RG5699WDA","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","66RD DI 1OV AMET D=.66 A=13.00","https://bassalijewelry.com/images/items/RG5699WDA.jpg","","1","","2400","","","","","Centerstone"
"RG5699WDB","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","66RD DI 1OV BTOP D=.66 BT=15.6","https://bassalijewelry.com/images/items/RG5699WDB.jpg","","1","","2400","","","","","Centerstone"
"RG5701A","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","1RD AMET AM=1.30","https://bassalijewelry.com/images/items/RG5701A.jpg","","1","","540","","","","","Centerstone"
"RG5701C","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","1RD/CITR C=1.30","https://bassalijewelry.com/images/items/RG5701C.jpg","","3","","600","","","","","Centerstone"
"RG5701G","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","1RD GARN G=1.30","https://bassalijewelry.com/images/items/RG5701G.jpg","","3","","540","","","","","Centerstone"
"RG5701PD","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","1RD PERD PD=1.60","https://bassalijewelry.com/images/items/RG5701PD.jpg","","1","","600","","","","","Centerstone"
"RG5724WDA","","Bassali Jewelry","","Fashion","Ring","","M","18K White Gold","48RD DI 1CC AMET D=.14 A=13.63","https://bassalijewelry.com/images/items/RG5724WDA.jpg","","1","","1440","","","","","Centerstone"
"RG5989KDAG","","Bassali Jewelry","","Fashion","Ring","","M","14K Rose Gold","55RD DI 1PS WAGT D=.20 WA=7.29","https://bassalijewelry.com/images/items/RG5989KDAG.jpg","","1","","1500","","","","","Centerstone"
"RG5994WS","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K White Gold","52RD SAPH S=1.25        18KW","https://bassalijewelry.com/images/items/RG5994WS.jpg","","1","","1050","","","","","Band"
"RG6042C","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","1RD/CITR C=1.30","https://bassalijewelry.com/images/items/RG6042C.jpg","","1","","840","","","","","Centerstone"
"RG6042WB","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","1RD BTOP B=1.60","https://bassalijewelry.com/images/items/RG6042WB.jpg","","1","","840","","","","","Centerstone"
"RG6126KDLB","","Bassali Jewelry","","Fashion","Ring","","M","14K Rose Gold","63RD=.25 1EC/LBTO LB=2.10 14K","https://bassalijewelry.com/images/items/RG6126KDLB.jpg","","2","","1800","","","","","Centerstone"
"RG6131KDRA","","Bassali Jewelry","","Fashion","Ring","","M","14K Rose Gold","150RD DI 1CC RAME D=.60 A=3.72","https://bassalijewelry.com/images/items/RG6131KDRA.jpg","","1","","2910","","","","","Centerstone"
"RG6131WDSB","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","150RD DI 1CC SBTO D=.60 B=3.27","https://bassalijewelry.com/images/items/RG6131WDSB.jpg","","1","","2910","","","","","Centerstone"
"RG6138WDQ","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","64RD=.25 1CC7SP/AQ AQ=2.00","https://bassalijewelry.com/images/items/RG6138WDQ.jpg","","1","","3000","","","","","Centerstone"
"RG6139KDSQ","","Bassali Jewelry","","Fashion","Ring","","M","14K Rose Gold","96RD=.36 3EC/SQTZ SQ=1.93","https://bassalijewelry.com/images/items/RG6139KDSQ.jpg","","1","","2100","","","","","Centerstone"
"RG6139WDQ","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","96RD=.36 3EC/AQUA AQ=2.15","https://bassalijewelry.com/images/items/RG6139WDQ.jpg","","3","","3450","","","","","Centerstone"
"RG6140DAPS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","38RD=.27 1AM=1.75 46PS=.46 14K","https://bassalijewelry.com/images/items/RG6140DAPS.jpg","","1","","2040","","","","","Centerstone"
"RG6140KDLBS","","Bassali Jewelry","","Fashion","Ring","","M","14K Rose Gold","38RD=.27 1LBT=2.44 46SA=.49 14K","https://bassalijewelry.com/images/items/RG6140KDLBS.jpg","","1","","2250","","","","","Centerstone"
"RG6234DG","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","52RD=.20 1CC/GARN G=3.37","https://bassalijewelry.com/images/items/RG6234DG.jpg","","1","","2160","","","","","Centerstone"
"RG6234KDMO","","Bassali Jewelry","","Fashion","Ring","","M","14K Rose Gold","52RD=.20 1CC/MORG MG=2.71","https://bassalijewelry.com/images/items/RG6234KDMO.jpg","","2","","2970","","","","","Centerstone"
"RG6234WDA","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","52RD=.20 1CC/AMET A=2.45","https://bassalijewelry.com/images/items/RG6234WDA.jpg","","1","","1500","","","","","Centerstone"
"RG6234WDSB","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","52RD=.20 1CC/SBTO SB=3.27","https://bassalijewelry.com/images/items/RG6234WDSB.jpg","","1","","1500","","","","","Centerstone"
"RG6253WDL","","Bassali Jewelry","","Fashion","Ring","","M","18K White Gold","66RD DI 1CC2TR LQT D.23 LQ=6.4","https://bassalijewelry.com/images/items/RG6253WDL.jpg","","1","","1350","","","","","Centerstone"
"RG6414WDAL","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","2TB DI 1RD ALEX D=.15 AL=.85","https://bassalijewelry.com/images/items/RG6414WDAL.jpg","","1","","18000","","","","","Centerstone"
"RG6430DSQ","","Bassali Jewelry","","Fashion","Ring","","M","18K Yellow Gold","41RD92CHDI 1PS/SQTZ D=.15 CH=1.30 SQ=7.65","https://bassalijewelry.com/images/items/RG6430DSQ.jpg","","1","","2550","","","","","Centerstone"
"RG6679WDA","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","42RD=.14 1CC/AMET A=1.28","https://bassalijewelry.com/images/items/RG6679WDA.jpg","","2","","1260","","","","","Centerstone"
"RG6679WDD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","42RD=.14 1CC/PERD PD=1.57","https://bassalijewelry.com/images/items/RG6679WDD.jpg","","1","","1620","","","","","Centerstone"
"RG6679WDG","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","42RD=.14 1CC/GARN G=2.01","https://bassalijewelry.com/images/items/RG6679WDG.jpg","","1","","1440","","","","","Centerstone"
"RG6679WDGT","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","42RD=.14 1CC/GTOU GT=1.45 14K","https://bassalijewelry.com/images/items/RG6679WDGT.jpg","","3","","1890","","","","","Centerstone"
"RG6965KDRA","","Bassali Jewelry","","Fashion","Ring","","M","14K Rose Gold","78RD=.30 1CC2KC/RAME RA=1.47","https://bassalijewelry.com/images/items/RG6965KDRA.jpg","","1","","2280","","","","","Centerstone"
"RG6966KDMO","","Bassali Jewelry","","Fashion","Ring","","M","14K Rose Gold","94RD=.29 1CC/MORG MG=3.01","https://bassalijewelry.com/images/items/RG6966KDMO.jpg","","2","","3600","","","","","Centerstone"
"RG6966WDQ","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","94RD=.29 1CC/AQUA AQ=3.30","https://bassalijewelry.com/images/items/RG6966WDB.jpg","","1","","3150","","","","","Centerstone"
"RG6977WDMS","","Bassali Jewelry","","Fashion","Ring","","M","18K White Gold","62RD=.20 51BD=.51 130MS=1.25 18K","https://bassalijewelry.com/images/items/RG6977WDMS.jpg","","1","","6300","","","","","Fashion"
"RG7129KDCH","","Bassali Jewelry","","Fashion","Ring","","M","18K Rose Gold","232DI=.93        118RD CH=2.05","https://bassalijewelry.com/images/items/RG7129KDCH.jpg","","1","","11850","","","","","Fashion"
"RG7130KDSCH","","Bassali Jewelry","","Fashion","Ring","","M","18K Rose Gold","108D.35 87CH=1.03 3SQ=16.22","https://bassalijewelry.com/images/items/RG7130KDSCH.jpg","","1","","6150","","","","","Fashion"
"RG7198D","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Yellow Gold","15RD=.37 14KY","https://bassalijewelry.com/images/items/RG7198WD.jpg","","2","","1650","","","","","Band"
"RG7198DE","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Yellow Gold","7RD=.19 8RD/EMER E=.16 14KY","https://bassalijewelry.com/images/items/RG7198DR.jpg","","2","","1440","","","","","Band"
"RG7198DR","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Yellow Gold","7RD=.19 8RD/RUBY R=.25 14K","https://bassalijewelry.com/images/items/RG7198DR.jpg","","2","","1230","","","","","Band"
"RG7198LDS","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Platinum","7RD=.19 8RD/SAPH S=.29 PT900","https://bassalijewelry.com/images/items/RG7198WDS.jpg","","1","","2040","","","","","Band"
"RG7198WD","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K White Gold","15RD=.37 14KW","https://bassalijewelry.com/images/items/RG7198WD.jpg","","4","","1650","","","","","Band"
"RG7198WDBD","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K White Gold","7RD=.19 8BD=.25 14K","https://bassalijewelry.com/images/items/RG7198WDBD.jpg","","3","","1350","","","","","Band"
"RG7198WDE","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K White Gold","7RD=.19 8RD/EMER E=.16 14K","https://bassalijewelry.com/images/items/RG7198DR.jpg","","3","","1440","","","","","Band"
"RG7198WDR","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K White Gold","7RD=.19 8RD/RUBY R=.25 14KW","https://bassalijewelry.com/images/items/RG7198WDR.jpg","","7","","1260","","","","","Band"
"RG7198WDS","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K White Gold","7RD=.19 8RD/SAPH S=.24 14KW","https://bassalijewelry.com/images/items/RG7198WDS.jpg","","5","","1260","","","","","Band"
"RG7202D","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Yellow Gold","12RD=.14","https://bassalijewelry.com/images/items/RG7202D.jpg","","1","","1200","","","","","Band"
"RG7205DSQ","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","12RD DI 1CC SQTZ D=.08 SQ=4.45","https://bassalijewelry.com/images/items/RG7205DG.jpg","","1","","900","","","","","Centerstone"
"RG7382DCGA14","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","36RD=.12 29CH=.33 GA=6.65 14K","https://bassalijewelry.com/images/items/RG7382DCGA14.jpg","","1","","1950","","","","","Centerstone"
"RG7465KDSQ","","Bassali Jewelry","","Fashion","Ring","","M","18K Rose Gold","77RD DI 1CC SQTZ D=.32 SQ=20.2","https://bassalijewelry.com/images/items/RG7465KDSQ.jpg","","1","","3060","","","","","Centerstone"
"RG7475DGA","","Bassali Jewelry","","Fashion","Ring","","M","18K Yellow Gold","65RD DI 1CC GAME D=.27 GA=17.0","https://bassalijewelry.com/images/items/RG7475DG.jpg","","1","","3150","","","","","Centerstone"
"RG7566WDR","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","5BG36RD DI 16PC RUBY D.95 R.50","https://bassalijewelry.com/images/items/RG7566WDR.jpg","","1","","4050","","","","","Fashion"
"RG7577WDD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","24RD=.12 1CC/PERD PD=3.76 14K","https://bassalijewelry.com/images/items/RG7577WDD.jpg","","1","","1710","","","","","Centerstone"
