Stock Number,Name,Brand,Collection,Department,Item Type,Styles,Gender,Materials,Description,Image 1,Details,Availability,Price Notes,Price,Width,Fit,Settings,Total Carat Weight,xItem Sub Type
"RG0277DE","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","3RD DI 5MQ EMER  D=.10 E=1.00","https://bassalijewelry.com/images/items/RG0277DE.jpg","","1","","540","","","","","Fashion"
"RG0346DE","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","16RD=.60 1EC/EMER E=.80","https://bassalijewelry.com/images/items/RG0346DE.jpg","","37","","1800","","","","","Centerstone"
"RG0346DR","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","16RD=.60 1OV/RUBY R=1.00","https://bassalijewelry.com/images/items/RG0346DR.jpg","","5","","1800","","","","","Centerstone"
"RG0346DS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","16RD DI 1EC SAPH D=.60 S=1.00","https://bassalijewelry.com/images/items/RG0346DS.jpg","","2","","1800","","","","","Centerstone"
"RG0346DT","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","16RD=.60 1CC/TANZ TZ=1.0","https://bassalijewelry.com/images/items/RG0346DT.jpg","","3","","2400","","","","","Centerstone"
"RG0347DR","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","25RD DI 1PR RUBY D=.70 R=1.10","https://bassalijewelry.com/images/items/RG0347DR.jpg","","2","","1500","","","","","Centerstone"
"RG0379DE","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","22RD DI 1PS EMER D=.45 E=1.00","https://bassalijewelry.com/images/items/RG0379DE.jpg","","1","","960","","","","","Centerstone"
"RG0409DS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","26RD DI 1EC6SQ SA D=.40 S=1.75","https://bassalijewelry.com/images/items/RG0409DS.jpg","","12","","1080","","","","","Centerstone"
"RG0627DE","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","16RD DI 1MQ EMER D=.30 E=.30","https://bassalijewelry.com/images/items/RG0627DE.jpg","","6","","480","","","","","Cluster"
"RG0691DE","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","12RD DI 1EC EMER D=.40 E=1.10","https://bassalijewelry.com/images/items/RG0691DE.jpg","","1","","1200","","","","","Centerstone"
"RG0705DS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","10RD DI 2OV SAPH D=.25 S=.80","https://bassalijewelry.com/images/items/RG0705DS.jpg","","1","","660","","","","","Fashion"
"RG0838D","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","16RD DI D=.35 CT.","https://bassalijewelry.com/images/items/RG0838D.jpg","","1","","1050","","","","","Cluster"
"RG0937DE","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Yellow Gold","3RD=.33 4RD/EMER E=.55","https://bassalijewelry.com/images/items/RG0937DE.jpg","","1","","900","","","","","Band"
"RG0937DR","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Yellow Gold","3RD=.33 4RD/RUBY R=.55","https://bassalijewelry.com/images/items/RG0937DR.jpg","","12","","900","","","","","Band"
"RG0937WDS","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K White Gold","3RD DI 4RD SAPH  D=.33 S=.55","https://bassalijewelry.com/images/items/RG0937DS.jpg","","1","","900","","","","","Band"
"RG11118WD","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K White Gold","33RD=.35 18K","https://bassalijewelry.com/images/items/RG11118WD.jpg","","2","","1620","","","","","Band"
